x1,y1,z1,x2,y2,z2,par_state,datetime
2.5105024,7.6884136,-10.1596894,4.24,-17.42,-4.0,par,2022-07-09 16:03:37.713687
-1.96133,0.9414384,-6.4331624,5.02,-20.08,20.04,par,2022-07-09 16:03:38.844850
0.1176798,2.4712758,-12.6309652,13.81,-14.51,20.04,par,2022-07-09 16:03:39.850304
-1.96133,1.0198916,-8.394492399999999,5.1,-20.08,13.18,par,2022-07-09 16:03:40.857389
8.237585999999999,11.924886399999998,-7.609960399999999,-20.08,1.02,-20.08,par,2022-07-09 16:03:41.864421
1.8436502,0.1569064,-2.6281822,16.32,-20.08,14.44,par,2022-07-09 16:03:42.871492
4.0011132,4.2756994,-10.5519554,5.02,-20.08,6.75,par,2022-07-09 16:03:43.878353
2.6674088,1.96133,-0.0392266,6.43,-15.46,19.93,par,2022-07-09 16:03:44.883738
2.5105024,3.0596748,-7.256920999999999,-8.39,0.0,-20.08,par,2022-07-09 16:03:45.890865
-0.3530394,3.6088471999999996,-7.7668668,-8.79,-10.04,-10.75,par,2022-07-09 16:03:46.897935
2.8243152,2.1966896,-9.649743599999999,1.02,4.16,-18.67,par,2022-07-09 16:03:47.905054
9.218251,5.727083599999999,-15.219920799999999,12.4,-17.65,20.04,par,2022-07-09 16:04:31.592567
2.1966896,8.0022264,-13.807763199999998,8.0,5.88,-20.08,par,2022-07-09 16:04:32.949811
6.5900688,-4.4718324,-3.92266,6.28,-17.5,20.04,par,2022-07-09 16:04:33.955273
2.3143694,3.726527,-4.9817782,2.51,-14.36,12.79,par,2022-07-09 16:04:34.961461
2.8243152,10.3165958,-18.4757286,3.06,2.82,-20.08,par,2022-07-09 16:04:35.968378
7.453054,1.2944778,-6.3154826,7.37,-15.38,20.04,par,2022-07-09 16:04:36.975196
6.943108199999999,1.3729310000000001,-5.7663101999999995,3.06,-13.57,20.04,par,2022-07-09 16:04:37.981875
2.4320492,5.5701772,-13.846989799999998,-3.77,-2.82,-14.83,par,2022-07-09 16:04:38.987219
-2.157463,8.747531799999999,-13.0232312,-1.49,-8.55,9.02,par,2022-07-09 16:04:39.994231
3.530394,3.2165812,-10.591182,4.0,-14.83,20.04,par,2022-07-09 16:04:41.003889
4.6679654,9.571290399999999,-4.1972461999999995,5.02,-10.67,-1.18,par,2022-07-09 16:07:08.587260
-2.6674088,2.549729,-7.8845466,4.31,-7.53,16.95,par,2022-07-09 16:10:52.072672
4.3933792,2.4320492,-9.7674234,-9.02,-6.83,17.18,par,2022-07-09 16:10:53.695774
-0.784532,8.669078599999999,-5.1779112,10.12,-3.3,-11.38,par,2022-07-09 16:10:54.701258
4.3933792,10.8657682,-6.1978028,11.06,-5.96,-6.43,par,2022-07-09 16:10:55.708368
3.4127142,0.3530394,-5.8447634,-10.2,-12.4,20.04,par,2022-07-09 16:10:56.715360
5.4132708,4.2364728,-6.0801229999999995,6.43,-8.32,-0.24,par,2022-07-09 16:10:57.722561
4.118792999999999,2.941995,-8.5513988,-0.39,-10.9,20.04,par,2022-07-09 16:10:58.729155
5.530950600000001,8.5513988,-11.414940599999998,2.75,-11.92,11.92,par,2022-07-09 16:10:59.734573
3.6088471999999996,-0.5099458,-3.530394,8.39,-19.61,20.04,par,2022-07-09 16:11:00.741595
6.001669799999999,8.7083052,-6.5900688,5.73,-7.61,0.55,par,2022-07-09 16:11:01.748561
2.157463,4.707191999999999,-9.7674234,-10.43,-11.69,20.04,par,2022-07-09 16:11:02.755363
14.9845612,2.7850886,-8.4729456,-2.67,-5.02,13.26,par,2022-07-09 16:11:41.512304
10.395049,3.334261,-8.8652116,-3.77,-0.39,4.79,par,2022-07-09 16:11:42.791061
3.334261,0.43149259999999995,-6.1585762,16.48,-8.55,18.28,par,2022-07-09 16:11:43.796444
5.8447634,3.7657536,-9.1397978,0.0,-2.82,10.36,par,2022-07-09 16:11:44.803476
11.6110736,5.1779112,-10.002782999999999,5.49,-2.04,2.82,par,2022-07-09 16:11:45.810318
3.6480737999999997,0.2353596,-6.864655,6.59,-4.0,6.59,par,2022-07-09 16:11:46.817113
5.88399,2.4712758,-6.040896399999999,3.77,-5.33,10.28,par,2022-07-09 16:11:47.823623
8.9436648,4.118792999999999,-9.2967042,6.83,-2.28,3.22,par,2022-07-09 16:11:48.828935
5.099458,1.8828768,-8.316039199999999,1.18,-2.04,3.3,par,2022-07-09 16:11:49.835725
6.4331624,3.726527,-8.0022264,0.16,-5.65,15.22,par,2022-07-09 16:11:50.842580
7.8060934,2.8243152,-10.1596894,4.08,-3.61,7.77,par,2022-07-09 16:11:51.849368
6.2370294,2.8243152,-7.060788,7.92,-6.83,8.0,par,2022-07-09 16:13:59.072179
